muni_id,year,recipient_class,value_dis,n_loans
432170,2002,productive_firm,2038609,6
240580,2002,productive_firm,245292,2
431380,2002,productive_firm,231935,4
351340,2002,productive_firm,1473287,14
320120,2002,productive_firm,3616520,31
330350,2002,productive_firm,455358836,77
315250,2002,productive_firm,6207296,28
320490,2002,productive_firm,1384082,9
353470,2002,productive_firm,995286,11
412820,2002,productive_firm,5822512,28
280350,2002,productive_firm,1932512,8
280320,2002,productive_firm,1367550,5
410830,2002,productive_firm,4130814,20
420910,2002,productive_firm,749952323,212
421900,2002,productive_firm,835413,8
421415,2002,productive_firm,154187,3
355690,2002,productive_firm,4164119,14
316930,2002,productive_firm,7106981,15
316250,2002,productive_firm,1231238,14
354640,2002,productive_firm,4913430,20
210530,2002,productive_firm,3158387,36
240325,2002,productive_firm,9146217,24
421210,2002,productive_firm,2360718,22
430850,2002,productive_firm,1061524,19
520450,2002,productive_firm,816747,8
421770,2002,productive_firm,920579,14
421500,2002,productive_firm,2365104,31
330510,2002,productive_firm,5253906,18
316553,2002,productive_firm,620000,3
313490,2002,productive_firm,236300,2
330200,2002,productive_firm,735082,6
432340,2002,productive_firm,264743,3
520510,2002,productive_firm,1973080,23
350170,2002,productive_firm,7584823,21
354515,2002,productive_firm,104498,2
310375,2002,productive_firm,2001276,12
420130,2002,productive_firm,1932755,14
231290,2002,productive_firm,1039586,16
410040,2002,productive_firm,5296436,24
311940,2002,productive_firm,735062,13
431846,2002,productive_firm,178904,3
500830,2002,productive_firm,1446650,7
150350,2002,productive_firm,45612,1
354670,2002,productive_firm,1506112,5
431900,2002,productive_firm,1491037,11
352320,2002,productive_firm,2710374,16
350610,2002,productive_firm,4776267,18
354580,2002,productive_firm,6574772,29
521930,2002,productive_firm,228882,4
410740,2002,productive_firm,1675164,14
315120,2002,productive_firm,31959143,12
431710,2002,productive_firm,445353,7
350520,2002,productive_firm,2115580,12
430450,2002,productive_firm,367844,5
431130,2002,productive_firm,1016702,10
320140,2002,productive_firm,1280259,15
412710,2002,productive_firm,5430603,30
431480,2002,productive_firm,15901673,41
351750,2002,productive_firm,7720718,12
231220,2002,productive_firm,138877,3
420765,2002,productive_firm,743292,10
313310,2002,productive_firm,122797,4
410400,2002,productive_firm,850193,13
430810,2002,productive_firm,413476,5
320010,2002,productive_firm,56000,1
412650,2002,productive_firm,1779845,7
315360,2002,productive_firm,775285,5
411350,2002,productive_firm,48015,1
150810,2002,productive_firm,51845965590,20
355180,2002,productive_firm,80000,1
430760,2002,productive_firm,1519664,12
420540,2002,productive_firm,43245203,101
350790,2002,productive_firm,2517187,19
354380,2002,productive_firm,1031724,12
316870,2002,productive_firm,2125113918,9
431460,2002,productive_firm,143200,2
353950,2002,productive_firm,3964158,19
353670,2002,productive_firm,814734,7
171820,2002,productive_firm,5485390,18
412580,2002,productive_firm,961139,11
420220,2002,productive_firm,368911,6
412785,2002,productive_firm,287664,3
315700,2002,productive_firm,464376,8
431020,2002,productive_firm,1418571640,26
412340,2002,productive_firm,86715,2
352240,2002,productive_firm,2130978,23
355190,2002,productive_firm,411600,1
430820,2002,productive_firm,2833267,29
420630,2002,productive_firm,1039851,4
291670,2002,productive_firm,242100,1
313940,2002,productive_firm,1996762,28
410465,2002,productive_firm,1597598,12
430440,2002,productive_firm,253738,5
412810,2002,productive_firm,1674838,21
420310,2002,productive_firm,285940,4
353190,2002,productive_firm,3989613,11
351510,2002,productive_firm,4121309,20
421917,2002,productive_firm,669550,6
432240,2002,productive_firm,2455562,15
431690,2002,productive_firm,148382058,70
355630,2002,productive_firm,1805499,7
350750,2002,productive_firm,8487705,22
410700,2002,productive_firm,82742,2
310590,2002,productive_firm,309285,3
