uf,muni_key,year,value_dis_main,n_loans_main,value_dis_pa,n_loans_pa,in_main,in_pa
MA,SEM MUNICIPIO,2010,13652720,1,,,TRUE,FALSE
MA,SEM MUNICIPIO,2013,383080251721,4,,,TRUE,FALSE
MG,-,2005,,,55386387,1,FALSE,TRUE
MG,-,2009,,,178180000,1,FALSE,TRUE
MG,-,2010,,,303034529,4,FALSE,TRUE
MG,-,2012,,,1750814145,3,FALSE,TRUE
MG,ABADIA DOS DOURADOS,2009,300000,1,300000,1,TRUE,TRUE
MG,ABAETE,2007,824989,2,824989,2,TRUE,TRUE
MG,ABRE CAMPO,2014,820000,1,820000,1,TRUE,TRUE
MG,ACAIACA,2012,974150,6,974150,6,TRUE,TRUE
MG,ACUCENA,2008,426200,1,426200,1,TRUE,TRUE
MG,ACUCENA,2011,650000,2,650000,2,TRUE,TRUE
MG,ALAGOA,2010,490000,1,490000,1,TRUE,TRUE
MG,ALFENAS,2007,3000000,11,3000000,11,TRUE,TRUE
MG,ALFENAS,2008,76432498,2,1441485,2,TRUE,TRUE
MG,ALPINOPOLIS,2007,733000,2,733000,2,TRUE,TRUE
MG,ALTEROSA,2009,396000,1,396000,1,TRUE,TRUE
MG,ALTO JEQUITIBA,2009,153000,1,153000,1,TRUE,TRUE
MG,ALTO JEQUITIBA,2010,340150,1,340150,1,TRUE,TRUE
MG,ALVINOPOLIS,2010,591700,1,591700,1,TRUE,TRUE
MG,ANDRELANDIA,2011,758500,2,758500,2,TRUE,TRUE
MG,ARACUAI,2007,824955,2,824955,2,TRUE,TRUE
MG,ARGIRITA,2008,200000,1,200000,1,TRUE,TRUE
MG,BAEPENDI,2011,1250000,3,1250000,3,TRUE,TRUE
MG,BALDIM,2012,246000,1,246000,1,TRUE,TRUE
MG,BAMBUI,2008,380250,1,380250,1,TRUE,TRUE
MG,BAMBUI,2012,691001,1,691001,1,TRUE,TRUE
MG,BAMBUI,2013,210999,1,210999,1,TRUE,TRUE
MG,BARBACENA,2007,52535,1,52535,1,TRUE,TRUE
MG,BARBACENA,2016,4119542,1,4119542,1,TRUE,TRUE
MG,BARRA LONGA,2008,299450,1,299450,1,TRUE,TRUE
MG,BARRA LONGA,2012,610000,2,610000,2,TRUE,TRUE
MG,BELO HORIZONTE,2002,3322497368,13,37792552,5,TRUE,TRUE
MG,BELO HORIZONTE,2004,8774283836,3,88499588,3,TRUE,TRUE
MG,BELO HORIZONTE,2005,554131323,2,,,TRUE,FALSE
