outcome,model_type,spec,shift,channel,term,estimate,std_error,t_value,p_value
emp_share_jmt,joint_channel,VAR-B,LEV,ALL,Z_M,0.0268526836153902,0.012019588763569,2.23407673453686,0.111573227117496
emp_share_jmt,joint_channel,VAR-B,LEV,ALL,Z_MG,0.000861093333357247,0.00413008490208286,0.208492889074262,0.848197257964693
emp_share_jmt,joint_channel,VAR-B,LEV,ALL,Z_MGP,-0.00905591902014933,0.00954095165968917,-0.949163075462469,0.412561784460494
emp_share_jmt,joint_channel,VAR-B,LEV,ALL,Z_MP,0.00680703205920488,0.00629611470331574,1.08114803810993,0.358789751742724
emp_share_jmt,per_channel,BASE,DIF,M,Z_single,-0.00258715335536549,0.00670183808909746,-0.386036385984058,0.725219166516542
emp_share_jmt,per_channel,BASE,DIF,MG,Z_single,-0.00139280906691245,0.00369654118454152,-0.376787109186557,0.731403969945643
emp_share_jmt,per_channel,BASE,DIF,MGP,Z_single,-0.00236560039792285,0.00323331852230971,-0.731632340457751,0.517363531997568
emp_share_jmt,per_channel,BASE,DIF,MP,Z_single,0.00322759455034395,0.00273518881152746,1.18002623319504,0.323038125340976
emp_share_jmt,per_channel,BASE,LEV,M,Z_single,-0.00302053019598034,0.00520398190317834,-0.580426729411866,0.602351424457508
emp_share_jmt,per_channel,BASE,LEV,MG,Z_single,0.000296139862579874,0.00110456931062278,0.268104373108921,0.805996812141133
emp_share_jmt,per_channel,BASE,LEV,MGP,Z_single,-0.00483263687312179,0.0152667369618505,-0.316546809262378,0.77233528201569
emp_share_jmt,per_channel,BASE,LEV,MP,Z_single,-0.00223562212672032,0.0120359171415065,-0.185745888779067,0.864493388617043
emp_share_jmt,per_channel,VAR-A,DIF,M,Z_single,-0.00898320209729776,0.0370523038547456,-0.242446519183104,0.824064013873638
emp_share_jmt,per_channel,VAR-A,DIF,MG,Z_single,-0.0108888979173714,0.00710938976726763,-1.53162202014932,0.223129141339624
emp_share_jmt,per_channel,VAR-A,DIF,MGP,Z_single,-0.0189889318983837,0.00833021757078631,-2.27952412251236,0.106982122150934
emp_share_jmt,per_channel,VAR-A,DIF,MP,Z_single,0.0049790952212873,0.00412406457358908,1.20732717260877,0.313812812821508
emp_share_jmt,per_channel,VAR-A,LEV,M,Z_single,-0.0120716477767607,0.0194560868561475,-0.620456100243326,0.578901419418814
emp_share_jmt,per_channel,VAR-A,LEV,MG,Z_single,-0.00251812948117558,0.00800089370702949,-0.314731025480714,0.773585647397904
emp_share_jmt,per_channel,VAR-A,LEV,MGP,Z_single,-0.0397006336841134,0.0694779763236424,-0.571413213004073,0.607723696369506
emp_share_jmt,per_channel,VAR-A,LEV,MP,Z_single,-0.0285145326601446,0.0462344280837903,-0.616738085490491,0.581051158301676
emp_share_jmt,per_channel,VAR-B,DIF,M,Z_single,0.0069199309573608,0.0135548194137047,0.510514433734497,0.644883511110251
emp_share_jmt,per_channel,VAR-B,DIF,MG,Z_single,-0.00255688235893514,0.00210911529026828,-1.212300897316,0.312161254687854
emp_share_jmt,per_channel,VAR-B,DIF,MGP,Z_single,0.0117641650462356,0.00579845960055916,2.02884315087772,0.135495028963572
emp_share_jmt,per_channel,VAR-B,DIF,MP,Z_single,0.00748251579436487,0.00820816304350112,0.911594440157864,0.429195590401722
emp_share_jmt,per_channel,VAR-B,LEV,M,Z_single,0.0279091706394511,0.0115852982560068,2.40901615329417,0.0951009790668627
emp_share_jmt,per_channel,VAR-B,LEV,MG,Z_single,0.0220734012661353,0.00732060246094037,3.01524381140891,0.0569738294222626
emp_share_jmt,per_channel,VAR-B,LEV,MGP,Z_single,0.0164206974702848,0.0110358361825082,1.48794320599934,0.233497932810091
emp_share_jmt,per_channel,VAR-B,LEV,MP,Z_single,0.0226966334216834,0.0137434136727487,1.65145530521923,0.197212614312776
